time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-1.3671875,2.2902883273379855,2.29053630479455,2.290654671379749
-1.3281249999999998,2.4520337104415377,2.4522794572681685,2.4523870262392515
-1.2890625,2.623237582927165,2.623475686260835,2.6235752941510224
-1.25,2.804148661804326,2.80437570582481,2.8044671512094426
-1.2109374999999998,2.9949714144216495,2.9951864496179668,2.9952622559500806
-1.171875,3.1958565412415476,3.1960537399719637,3.196113964469062
-1.1328125,3.4068906298012847,3.407067425696671,3.4071125656892622
-1.0937499999999998,3.6280850482457403,3.6282414202773126,3.628270127552268
-1.0546875,3.859364186913466,3.859502357404279,3.8595125468528346
-1.015625,4.100553203039637,4.100670528220464,4.100663662533594
-0.9765624999999999,4.351365476327445,4.351457726489941,4.351435953305362
-0.9375,4.611390041057728,4.6114556776086095,4.611410540528553
-0.8984374999999999,4.880079322071605,4.880112730077804,4.880047290623174
-0.859375,5.156737565180444,5.1567401927400764,5.156651845635023
-0.8203125,5.44051041435314,5.440487243650564,5.440365825714801
-0.7812499999999999,5.730376144604878,5.730328711798749,5.730172273797475
-0.7421875,6.025139106277648,6.025065000795811,6.0248740699391945
-0.703125,6.323425968101761,6.323324850840813,6.323098784781543
-0.6640624999999999,6.623685357347892,6.623560566919775,6.623297129651982
-0.625,6.924191479699883,6.924042444772123,6.923741772465871
-0.5859375,7.22305225373063,7.222873688309982,7.222545153457965
-0.5468749999999999,7.5182224105095345,7.518010508801844,7.517660275381836
-0.5078125,7.807521884961378,7.807282235035538,7.80690476268188
-0.46875,8.088659661463137,8.088393418999715,8.088000462369719
-0.4296875,8.359263034059795,8.358973525712372,8.358566755737971
-0.39062499999999994,8.616912007286249,8.616605231691105,8.616179916880414
-0.3515625,8.859178306280816,8.858849543439023,8.85840895238248
-0.3125,9.083668197676817,9.08331330886956,9.082861267212726
-0.27343749999999994,9.288068061816364,9.28769008802872,9.287222797809411
-0.234375,9.47019142050852,9.469795081777457,9.4693138283758
-0.19531249999999997,9.628025932060213,9.627612060567264,9.627127990109553
-0.15625,9.75977873498871,9.75934689508075,9.758863880355923
-0.1171875,9.86391846927205,9.86347412926397,9.862987570801682
-0.078125,9.939212340192613,9.938766498192482,9.938274077529595
-0.0390625,9.984756719569715,9.984311456891534,9.983810891935972
0.0,10.000000000000002,9.999552633215865,9.999054496062186
0.0390625,9.984756719569715,9.984311456891525,9.98381089193585
0.078125,9.939212340192613,9.938766498192487,9.93827407752942
0.1171875,9.86391846927205,9.863474129263912,9.862987570801396
0.15625,9.75977873498871,9.759346895080675,9.758863880355532
0.19531249999999997,9.628025932060213,9.627612060567177,9.627127990109063
0.234375,9.47019142050852,9.469795081777361,9.469313828375256
0.27343749999999994,9.288068061816364,9.287690088028581,9.287222797808765
0.3125,9.083668197676817,9.083313308869412,9.082861267211989
0.3515625,8.859178306280816,8.858849543438888,8.858408952381717
0.39062499999999994,8.616912007286249,8.616605231690961,8.6161799168795
0.4296875,8.359263034059795,8.358973525712207,8.358566755737067
0.46875,8.088659661463137,8.088393418999532,8.08800046236878
0.5078125,7.807521884961378,7.80728223503537,7.806904762680919
0.5468749999999999,7.5182224105095345,7.5180105088016616,7.517660275380818
0.5859375,7.22305225373063,7.222873688309798,7.222545153456925
0.625,6.924191479699883,6.924042444771938,6.923741772464847
0.6640624999999999,6.623685357347892,6.623560566919608,6.62329712965093
0.703125,6.323425968101761,6.323324850840644,6.3230987847805
0.7421875,6.025139106277648,6.025065000795608,6.024874069938174
0.7812499999999999,5.730376144604878,5.730328711798568,5.730172273796465
0.8203125,5.44051041435314,5.440487243650404,5.440365825713846
0.859375,5.156737565180444,5.156740192739901,5.1566518456340615
0.8984374999999999,4.880079322071605,4.880112730077642,4.88004729062225
0.9375,4.611390041057728,4.611455677608471,4.611410540527624
0.9765624999999999,4.351365476327445,4.351457726489801,4.3514359533044855
1.015625,4.100553203039637,4.1006705282203235,4.100663662532715
1.0546875,3.859364186913466,3.859502357404144,3.8595125468520033
1.0937499999999998,3.6280850482457403,3.6282414202771833,3.628270127551495
1.1328125,3.4068906298012847,3.4070674256965385,3.407112565688525
1.171875,3.1958565412415476,3.1960537399718327,3.196113964468332
1.2109374999999998,2.9949714144216495,2.995186449617853,2.995262255949402
1.25,2.804148661804326,2.8043757058247007,2.804467151208791
1.2890625,2.623237582927165,2.6234756862607203,2.6235752941504202
1.3281249999999998,2.4520337104415377,2.4522794572680846,2.4523870262386724
1.3671875,2.2902883273379855,2.2905363047944585,2.2906546713791993
1.40625,2.1377171205879315,2.137961246008974,2.1380907700927523
1.4453124999999998,1.9940079638521966,1.9942456273161313,1.9943871081359694
1.484375,1.8588278436112586,1.859059306239185,1.859207970051072
1.5234375,1.731828959654863,1.7320526821800608,1.7322089996063108
1.5624999999999998,1.6126540429807885,1.6128705317066792,1.6130299190461352
1.6015625,1.5009409424557327,1.501146871357327,1.5013125840870047
1.640625,1.3963265367245143,1.3965196988519817,1.396689892456465
1.6796874999999998,1.2984500304114255,1.2986282584295028,1.2988062891198189
1.71875,1.2069556941759787,1.2071196138526883,1.2073026898596066
1.7578125,1.1214951071354677,1.1216462162018663,1.1218301894483853
1.7968749999999998,1.0417289579537765,1.0418661668591465,1.0420523673265443
1.8359374999999998,0.9673284578599897,0.9674545460338291,0.9676425718458935
1.875,0.8979764152817387,0.8980929125484715,0.8982824573239833
1.9140624999999998,0.8333680178829167,0.8334774348639168,0.8336679872742697
1.9531249999999998,0.7732113637613062,0.7733141083702402,0.7735060864309307
1.9921875,0.717227779525716,0.7173237056729497,0.7175172411185748
2.03125,0.6651519590362253,0.6652408607723949,0.6654333853052788
2.0703124999999996,0.6167319528282317,0.6168146481961501,0.6170059323190732
