wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
83.34432482621028,1.7895148595674066e-05,2.906111136018723e-05,3.303837131190757e-05
86.54987578106451,1.114278368672972e-05,1.909103326243456e-05,2.1389229131731554e-05
89.75542673591873,6.938274348739767e-06,1.3125709963729578e-05,1.4539811421459918e-05
92.960977690773,4.3202509466234346e-06,9.467680076068108e-06,1.0473963417897102e-05
96.16652864562724,2.690086026435776e-06,7.017161046576065e-06,7.82541264917282e-06
99.37207960048147,1.6750329104805699e-06,5.176687868502919e-06,5.834007568360442e-06
102.57763055533572,1.042990373743967e-06,3.7432508302265923e-06,4.252111552474647e-06
105.78318151018995,6.494375078797193e-07,2.68122539110453e-06,3.056987537021101e-06
108.9887324650442,4.043842266766084e-07,1.9369422815991365e-06,2.20390948106663e-06
112.19428341989844,2.517974112767488e-07,1.4128161448717593e-06,1.5922146005531343e-06
115.39983437475269,1.5678626753746903e-07,1.0230419077066233e-06,1.1361114567395015e-06
118.60538532960693,9.76259136110216e-08,7.229412581016067e-07,7.922025546139613e-07
121.81093628446115,6.078855090607392e-08,4.942053117769861e-07,5.37340427804241e-07
125.0164872393154,3.785113925331288e-08,3.265558758575336e-07,3.534152122458629e-07
128.22203819416964,2.3568694629757418e-08,2.1027298124279914e-07,2.259124461822484e-07
131.4275891490239,1.4675496852778886e-08,1.335272487764243e-07,1.4148736552821997e-07
134.63314010387813,9.137959667537855e-09,8.415805245669838e-08,8.716953866852045e-08
137.83869105873237,5.689927082875878e-09,5.274020648336509e-08,5.273006157368681e-08
141.04424201358663,3.542932701234764e-09,3.305089877314572e-08,3.140340707106355e-08
144.24979296844086,2.2060768397099755e-09,2.0963358301688706e-08,1.8661336392374624e-08
147.4553439232951,1.373651324001677e-09,1.364570159902897e-08,1.1339168313861074e-08
150.66089487814932,8.553318448113624e-10,9.141683390313409e-09,7.206750510956628e-09
153.86644583300358,5.325863436776787e-10,6.20192221728633e-09,4.755139917936199e-09
157.0719967878578,3.3162614036548225e-10,4.162436231151391e-09,3.139271820881603e-09
160.27754774271204,2.0649208519141457e-10,2.705998535268295e-09,2.0002463147318477e-09
163.4830986975663,1.2857692499105292e-10,1.679350996165016e-09,1.2106274384647091e-09
166.68864965242057,8.006018551954773e-11,1.001482498953717e-09,7.024022666841408e-10
169.89420060727477,4.9851423164562324e-11,5.97670470274291e-10,4.050326083529382e-10
173.09975156212903,3.104055446035785e-11,3.79579522064533e-10,2.4570604359361737e-10
176.3053025169833,1.932824675094168e-11,2.658987928771533e-10,1.636823786342754e-10
179.51085347183746,1.2034883421242564e-11,2.0038917004281737e-10,1.1844941399708122e-10
182.71640442669175,7.493900606371104e-12,1.5346049955514721e-10,8.865405081357523e-11
185.921955381546,4.666095322180231e-12,1.1506514540960559e-10,6.602900902416032e-11
189.12750633640024,2.905522594090808e-12,8.396155461077797e-11,4.831083361382553e-11
192.33305729125448,1.8091070405548094e-12,6.010865245899467e-11,3.4732406206832427e-11
195.53860824610874,1.1265277517058261e-12,4.255519322486734e-11,2.4634735837169102e-11
198.74415920096294,7.014121827163642e-13,3.001276883917554e-11,1.7403059018112003e-11
201.9497101558172,4.367787770405727e-13,2.1210356929464018e-11,1.2371794288370141e-11
205.15526111067143,2.7194425068529716e-13,1.4879772321502246e-11,8.788853361466163e-12
